title,date,venue,price,link,date_and_time,location,artists
Les Clopes + Scimia + Blank\\,jeu. 4 janv.,Supersonic,Gratuit,https://dice.fm/event/qp2ny-les-clopes-scimia-blank-4th-jan-supersonic-paris-tickets,,,
Plastic Palms + Clamn Dever + Panty Panty,jeu. 4 janv.,L'international,8 €,https://dice.fm/event/xym5a-plastic-palms-clamn-dever-panty-panty-4th-jan-linternational-paris-tickets,"jeu. 4 janv., 19:00","5 Rue Moret, 75011 Paris, France","Plastic Palms, Clamn Dever, PanTy PanTy"
Simone's Carpet + Lavomatic,ven. 5 janv.,Supersonic,Gratuit,https://dice.fm/event/373kp-simones-carpet-lavomatic-5th-jan-supersonic-paris-tickets,"ven. 5 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Lavomatic, Simone's Carpet"
The Wolf You Feed + Gargantura + Cerbera,ven. 5 janv.,L'international,7 €,https://dice.fm/event/v2wkl-the-wolf-you-feed-gargantura-cerbera-5th-jan-linternational-paris-tickets,"ven. 5 janv., 19:00","5 Rue Moret, 75011 Paris, France","The Wolf You Feed, Cerbera, Gargantura"
La nuit des chansons tristes,ven. 5 janv.,Anti Club du Cirque électrique,8 €,https://dice.fm/event/v2vvg-la-nuit-des-chansons-tristes-5th-jan-anti-club-du-cirque-lectrique-paris-tickets,"ven. 5 janv., 19:30","Place Du Maquis Du Vercors, 75020 Paris, France","Nutsz, jakeVII, sang9"
Laurie Xhaard + Thomas Baignères,ven. 5 janv.,POPUP!,Gratuit,https://dice.fm/event/don3q-laurie-xhaard-thomas-baignres-5th-jan-popup-paris-tickets,"ven. 5 janv., 20:00","14 Rue Abel, 75012 Paris, France",Thomas Baignères
"33 Dogs, I Scream, Luciano & The Clouds, DJ Set",ven. 5 janv.,Le Sub Pigalle,"11,80 €",https://dice.fm/event/mglev-33-dogs-i-scream-luciano-the-clouds-dj-set-5th-jan-le-sub-pigalle-paris-tickets,"ven. 5 janv., 21:00","3 Place De Clichy, 75008 Paris, France","33 Dogs, I scream, Luciano & The Clouds"
Gin Sonic,ven. 5 janv.,POPUP!,Gratuit,https://dice.fm/event/7wmp9-gin-sonic-5th-jan-popup-paris-tickets,"ven. 5 janv., 23:00","14 Rue Abel, 75012 Paris, France",
Caribbean groove dur les toits de paris,ven. 5 janv.,Tout Le Monde en Parle,À partir de Gratuit,https://dice.fm/event/lkoql-caribbean-groove-dur-les-toits-de-paris-5th-jan-tout-le-monde-en-parle-paris-tickets,"ven. 5 janv., 23:00","4 Rue Du Départ, 75015 Paris, France","Fermeture, djsprinter"
Pam Risourié + Fishtalk + Scarabs,sam. 6 janv.,Supersonic,Gratuit,https://dice.fm/event/56re8-pam-risouri-fishtalk-scarabs-6th-jan-supersonic-paris-tickets,"sam. 6 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Scarabs, Fishtalk, Pam Risourié"
Les Petits Artistes,sam. 6 janv.,La Boule Noire,18 €,https://dice.fm/event/7wyrv-les-petits-artistes-6th-jan-la-boule-noire-paris-tickets,"sam. 6 janv., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",
BOOM 80's du Marcounet,sam. 6 janv.,Péniche Marcounet,Gratuit,https://dice.fm/event/68xx8-boom-80s-du-marcounet-6th-jan-pniche-marcounet-paris-tickets,"sam. 6 janv., 20:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",
Rêves Party 8 💙,sam. 6 janv.,Point Ephémère,18 €,https://dice.fm/event/qprp9-rves-party-8-6th-jan-point-ephmre-paris-tickets,"sam. 6 janv., 20:00","200 Quai de Valmy, 75010 Paris-10E-Arrondissement, France",
"Élettel Teli, Blond Idiocracy, Ullmann Kararocke feat Dakota & DJ Set",sam. 6 janv.,Le Sub Pigalle,"11,80 €",https://dice.fm/event/37gev-lettel-teli-blond-idiocracy-ullmann-kararocke-feat-dakota-dj-set-6th-jan-le-sub-pigalle-paris-tickets,"sam. 6 janv., 21:00","3 Place De Clichy, 75008 Paris, France","ÉLETTEL TELI, BLOND IDIOCRACY, Dakota"
Opäk 'Dohrnii’ Release Party (Kluster Records),sam. 6 janv.,La Marbrerie,"À partir de 11,02 €",https://dice.fm/event/v2a87-opk-dohrnii-release-party-kluster-records-6th-jan-la-marbrerie-paris-tickets,"sam. 6 janv., 22:00","21 Rue Alexis Lepere, 93100 Montreuil, France","Opäk, ILLNURSE, Maemm, Eyrah"
Forensics x Gegen,sam. 6 janv.,La Machine du Moulin Rouge,"À partir de 19,08 €",https://dice.fm/event/37q2x-forensics-x-gegen-6th-jan-la-machine-du-moulin-rouge-paris-tickets,"sam. 6 janv., 23:00","90 Boulevard de Clichy, 75018 Paris, France",
Reggaeton party sur les toits de paris,sam. 6 janv.,Tout Le Monde en Parle,À partir de Gratuit,https://dice.fm/event/klnxo-reggaeton-party-sur-les-toits-de-paris-6th-jan-tout-le-monde-en-parle-paris-tickets,"sam. 6 janv., 23:00","4 Rue Du Départ, 75015 Paris, France","Fermeture des portes, djalkior"
LE ROYAUME DE L'EFFERVESCENCE,sam. 6 janv.,RedLight,"À partir de 11,22 €",https://dice.fm/event/n5wwl-le-royaume-de-leffervescence-6th-jan-redlight-paris-tickets,"sam. 6 janv., 23:30","34-36 Rue Du Départ, 75015 Paris, France",Fermeture des portes
BRUNCH : Lana Gray & Sidney Rodrigues,dim. 7 janv.,Péniche Marcounet,Gratuit,https://dice.fm/event/lk3vp-brunch-lana-gray-sidney-rodrigues-7th-jan-pniche-marcounet-paris-tickets,"dim. 7 janv., 12:00 UTC+1","Port de l'Hotel de Ville, Paris 75004","Lana Gray, Sidney Rodrigues"
Musical Theatre Open Mic Soirée,dim. 7 janv.,Péniche Marcounet,Gratuit,https://dice.fm/event/o7nwg-musical-theatre-open-mic-soire-7th-jan-pniche-marcounet-paris-tickets,"dim. 7 janv., 19:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",
Sunday Tribute - David Bowie,dim. 7 janv.,Supersonic,Gratuit,https://dice.fm/event/7bpnp-sunday-tribute-david-bowie-7th-jan-supersonic-paris-tickets,"dim. 7 janv., 19:00","9 Rue Biscornet, 75012 Paris, France",
Electric Spanish + Porcelaine + Peter Pantin,lun. 8 janv.,Supersonic,Gratuit,https://dice.fm/event/ex76d-electric-spanish-porcelaine-peter-pantin-8th-jan-supersonic-paris-tickets,"lun. 8 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Peter Pantin, porcelaine, Electric Spanish"
Blonddes + Divague + The Initiativ,lun. 8 janv.,L'international,6 €,https://dice.fm/event/5pead-blonddes-divague-the-initiativ-8th-jan-linternational-paris-tickets,"lun. 8 janv., 19:00","5 Rue Moret, 75011 Paris, France","Blonddes, Divague, The Initiativ"
Jean Felzine + Cassandre + FILS,lun. 8 janv.,POPUP!,"7,86 €",https://dice.fm/event/lk66p-jean-felzine-cassandre-fils-8th-jan-popup-paris-tickets,"lun. 8 janv., 20:00","14 Rue Abel, 75012 Paris, France",Jean Felzine
"BIGONE, DOHANSE, DIVE: THE DIAL MUSIC",lun. 8 janv.,La Bellevilloise,"À partir de 22,44 €",https://dice.fm/event/kym3l-bigone-dohanse-dive-the-dial-music-8th-jan-la-bellevilloise-paris-tickets,"lun. 8 janv., 20:00","19 Rue Boyer, 75020 Paris, France",
Marc desse + Niki Demillier + Super Léone,mar. 9 janv.,Supersonic,Gratuit,https://dice.fm/event/ql3ap-marc-desse-niki-demillier-super-lone-9th-jan-supersonic-paris-tickets,"mar. 9 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Super Léone, Niki Demillier, Marc Desse"
WeHungry + Ovearth + Outrance,mar. 9 janv.,L'international,7 €,https://dice.fm/event/mg679-wehungry-ovearth-outrance-9th-jan-linternational-paris-tickets,"mar. 9 janv., 19:00","5 Rue Moret, 75011 Paris, France",
The Twin Souls + BloodyClaps + PaddockAndBreakfast,mer. 10 janv.,Supersonic,Gratuit,https://dice.fm/event/8qv22-the-twin-souls-bloodyclaps-paddockandbreakfast-10th-jan-supersonic-paris-tickets,"mer. 10 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Paddock and Breakfast, Bloody Claps, The Twin Souls"
Orphia + Contre Soirée + La Malle,mer. 10 janv.,L'international,8 €,https://dice.fm/event/68pb3-orphia-contre-soire-la-malle-10th-jan-linternational-paris-tickets,"mer. 10 janv., 19:00","5 Rue Moret, 75011 Paris, France","Orphia, Contre Soirée, La Malle"
The Psychotic Monks,mer. 10 janv.,La Gaité Lyrique,"28,50 €",https://dice.fm/event/r9dwr-the-psychotic-monks-10th-jan-la-gait-lyrique-paris-tickets,"mer. 10 janv., 19:30","3bis Rue Papin, 75003 Paris, France",The Psychotic Monks
L'enfant,mer. 10 janv.,La Boule Noire,15 €,https://dice.fm/event/8lpav-lenfant-10th-jan-la-boule-noire-paris-tickets,"mer. 10 janv., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",L'enfant
Luke Anger + Terrace In Trance + Dora Surleau,mer. 10 janv.,POPUP!,"5,61 €",https://dice.fm/event/qpmey-luke-anger-terrace-in-trance-dora-surleau-10th-jan-popup-paris-tickets,"mer. 10 janv., 20:00","14 Rue Abel, 75012 Paris, France","Luke Anger, Terrace In Trance, Dora Sureau"
Brenda Ohana Trio,mer. 10 janv.,Péniche Marcounet,"16,48 €",https://dice.fm/event/mgo6r-brenda-ohana-trio-10th-jan-pniche-marcounet-paris-tickets,"mer. 10 janv., 21:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",Brenda Ohana Trio
Solal Roubine + Louis La Flemme + Nepita,jeu. 11 janv.,Supersonic,Gratuit,https://dice.fm/event/gx3bb-solal-roubine-louis-la-flemme-nepita-11th-jan-supersonic-paris-tickets,"jeu. 11 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Nepita, Louis La Flemme, Solal Roubine"
Jacques présente Vidéochose 360°,jeu. 11 janv.,La Gaité Lyrique,"28,05 €",https://dice.fm/event/oaxlg-jacques-prsente-vidochose-360-11th-jan-la-gait-lyrique-paris-tickets,"jeu. 11 janv., 19:30","3bis Rue Papin, 75003 Paris, France","Neniu, Jacques"
Big Data - Release Party,jeu. 11 janv.,POPUP!,"7,86 €",https://dice.fm/event/a5a6x-big-data-release-party-11th-jan-popup-paris-tickets,"jeu. 11 janv., 20:00","14 Rue Abel, 75012 Paris, France","Antoine Lang, Flora Hibberd"
OOO AUDIO #2 | Release Party Franky Gogo,jeu. 11 janv.,La Flèche d'Or,À partir de 8 €,https://dice.fm/event/mgexw-ooo-audio-2-release-party-franky-gogo-11th-jan-la-flche-dor-paris-tickets,"jeu. 11 janv., 20:00","102b Rue De Bagnolet, 75020 Paris, France",
"HEPTASOUND 5Y : Sam Coste, Prost !, Tatem & More",jeu. 11 janv.,La Java,"À partir de 6,12 €",https://dice.fm/event/b2eqx-heptasound-5y-sam-coste-prost-tatem-more-11th-jan-la-java-paris-tickets,"jeu. 11 janv., 23:00","105 Rue du Faubourg du Temple, 75010 Paris, France",
[Pass 2j] Pisica x Le Mazette : Winter Weekender,12 janv. - 14 janv.,Le Mazette,"21,63 €",https://dice.fm/event/9reo7-pass-2j-pisica-x-le-mazette-winter-weekender-12th-jan-le-mazette-paris-tickets,12 janv. - 14 janv.,"69 Port de la Rapée, 75012 Paris, France",
TGBB #17 : Parker Fans + Sunken + Nerves + Smile,ven. 12 janv.,Supersonic,Gratuit,https://dice.fm/event/372kl-tgbb-17-parker-fans-sunken-nerves-smile-12th-jan-supersonic-paris-tickets,"ven. 12 janv., 19:00","9 Rue Biscornet, 75012 Paris, France",
"Discover #4 Ofé, Lakna, Tianmi, Artÿ, Tiapo",ven. 12 janv.,La REcyclerie,Gratuit,https://dice.fm/event/pnprl-discover-4-of-lakna-tianmi-art-tiapo-12th-jan-la-recyclerie-paris-tickets,"ven. 12 janv., 19:00","83 Boulevard Ornano, 75018 Paris, France",
Umlaut Big Band - Une brève histoire du Swing,ven. 12 janv.,La Marbrerie,"À partir de 13,50 €",https://dice.fm/event/gq3ma--umlaut-big-band-une-brve-histoire-du-swing-12th-jan-la-marbrerie-paris-tickets,"ven. 12 janv., 19:00","21 Rue Alexis Lepere, 93100 Montreuil, France",Umlaut Big Band
Jacques présente Vidéochose 360°,ven. 12 janv.,La Gaité Lyrique,"28,05 €",https://dice.fm/event/mdr3r-jacques-prsente-vidochose-360-12th-jan-la-gait-lyrique-paris-tickets,"ven. 12 janv., 19:30","3bis Rue Papin, 75003 Paris, France","Neniu, Jacques"
HIER,ven. 12 janv.,La Boule Noire,12 €,https://dice.fm/event/gxdkb-hier-12th-jan-la-boule-noire-paris-tickets,"ven. 12 janv., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",HIER
REMY,ven. 12 janv.,La Maroquinerie,"25,50 €",https://dice.fm/event/6k2p7-remy-12th-jan-la-maroquinerie-paris-tickets,"ven. 12 janv., 20:00","23 Rue Boyer, 75020 Paris, France",
"Patrick Eudeline, Gasoline, Jamie Perrett, The Matt Project & DJ Set",ven. 12 janv.,Le Sub Pigalle,"11,80 €",https://dice.fm/event/g3mra-patrick-eudeline-gasoline-jamie-perrett-the-matt-project-dj-set-12th-jan-le-sub-pigalle-paris-tickets,"ven. 12 janv., 21:00","3 Place De Clichy, 75008 Paris, France",
Caribbean groove dur les toits de paris,ven. 12 janv.,Tout Le Monde en Parle,À partir de Gratuit,https://dice.fm/event/68w9q-caribbean-groove-dur-les-toits-de-paris-12th-jan-tout-le-monde-en-parle-paris-tickets,"ven. 12 janv., 23:00","4 Rue Du Départ, 75015 Paris, France","Fermeture, djsprinter"
"BAE Party W/ Surf 2 Glory, Vitamine C & More",ven. 12 janv.,La Java,À partir de 13 €,https://dice.fm/event/25ewa-bae-party-w-surf-2-glory-vitamine-c-more-12th-jan-la-java-paris-tickets,"ven. 12 janv., 23:30","105 Rue du Faubourg du Temple, 75010 Paris, France",
"BIGONE, DOHANSE, DIVE: THE DIAL MUSIC",lun. 8 janv.,La Bellevilloise,"À partir de 22,44 €",https://dice.fm/event/kym3l-bigone-dohanse-dive-the-dial-music-8th-jan-la-bellevilloise-paris-tickets,"lun. 8 janv., 20:00","19 Rue Boyer, 75020 Paris, France",
Marc desse + Niki Demillier + Super Léone,mar. 9 janv.,Supersonic,Gratuit,https://dice.fm/event/ql3ap-marc-desse-niki-demillier-super-lone-9th-jan-supersonic-paris-tickets,"mar. 9 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Super Léone, Niki Demillier, Marc Desse"
WeHungry + Ovearth + Outrance,mar. 9 janv.,L'international,7 €,https://dice.fm/event/mg679-wehungry-ovearth-outrance-9th-jan-linternational-paris-tickets,"mar. 9 janv., 19:00","5 Rue Moret, 75011 Paris, France",
The Twin Souls + BloodyClaps + PaddockAndBreakfast,mer. 10 janv.,Supersonic,Gratuit,https://dice.fm/event/8qv22-the-twin-souls-bloodyclaps-paddockandbreakfast-10th-jan-supersonic-paris-tickets,"mer. 10 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Paddock and Breakfast, Bloody Claps, The Twin Souls"
Orphia + Contre Soirée + La Malle,mer. 10 janv.,L'international,8 €,https://dice.fm/event/68pb3-orphia-contre-soire-la-malle-10th-jan-linternational-paris-tickets,"mer. 10 janv., 19:00","5 Rue Moret, 75011 Paris, France","Orphia, Contre Soirée, La Malle"
The Psychotic Monks,mer. 10 janv.,La Gaité Lyrique,"28,50 €",https://dice.fm/event/r9dwr-the-psychotic-monks-10th-jan-la-gait-lyrique-paris-tickets,"mer. 10 janv., 19:30","3bis Rue Papin, 75003 Paris, France",The Psychotic Monks
L'enfant,mer. 10 janv.,La Boule Noire,15 €,https://dice.fm/event/8lpav-lenfant-10th-jan-la-boule-noire-paris-tickets,"mer. 10 janv., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",L'enfant
Luke Anger + Terrace In Trance + Dora Surleau,mer. 10 janv.,POPUP!,"5,61 €",https://dice.fm/event/qpmey-luke-anger-terrace-in-trance-dora-surleau-10th-jan-popup-paris-tickets,"mer. 10 janv., 20:00","14 Rue Abel, 75012 Paris, France","Luke Anger, Terrace In Trance, Dora Sureau"
Brenda Ohana Trio,mer. 10 janv.,Péniche Marcounet,"16,48 €",https://dice.fm/event/mgo6r-brenda-ohana-trio-10th-jan-pniche-marcounet-paris-tickets,"mer. 10 janv., 21:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",Brenda Ohana Trio
Solal Roubine + Louis La Flemme + Nepita,jeu. 11 janv.,Supersonic,Gratuit,https://dice.fm/event/gx3bb-solal-roubine-louis-la-flemme-nepita-11th-jan-supersonic-paris-tickets,"jeu. 11 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Nepita, Louis La Flemme, Solal Roubine"
Jacques présente Vidéochose 360°,jeu. 11 janv.,La Gaité Lyrique,"28,05 €",https://dice.fm/event/oaxlg-jacques-prsente-vidochose-360-11th-jan-la-gait-lyrique-paris-tickets,"jeu. 11 janv., 19:30","3bis Rue Papin, 75003 Paris, France","Neniu, Jacques"
Big Data - Release Party,jeu. 11 janv.,POPUP!,"7,86 €",https://dice.fm/event/a5a6x-big-data-release-party-11th-jan-popup-paris-tickets,"jeu. 11 janv., 20:00","14 Rue Abel, 75012 Paris, France","Antoine Lang, Flora Hibberd"
OOO AUDIO #2 | Release Party Franky Gogo,jeu. 11 janv.,La Flèche d'Or,À partir de 8 €,https://dice.fm/event/mgexw-ooo-audio-2-release-party-franky-gogo-11th-jan-la-flche-dor-paris-tickets,"jeu. 11 janv., 20:00","102b Rue De Bagnolet, 75020 Paris, France",
"HEPTASOUND 5Y : Sam Coste, Prost !, Tatem & More",jeu. 11 janv.,La Java,"À partir de 6,12 €",https://dice.fm/event/b2eqx-heptasound-5y-sam-coste-prost-tatem-more-11th-jan-la-java-paris-tickets,"jeu. 11 janv., 23:00","105 Rue du Faubourg du Temple, 75010 Paris, France",
[Pass 2j] Pisica x Le Mazette : Winter Weekender,12 janv. - 14 janv.,Le Mazette,"21,63 €",https://dice.fm/event/9reo7-pass-2j-pisica-x-le-mazette-winter-weekender-12th-jan-le-mazette-paris-tickets,12 janv. - 14 janv.,"69 Port de la Rapée, 75012 Paris, France",
TGBB #17 : Parker Fans + Sunken + Nerves + Smile,ven. 12 janv.,Supersonic,Gratuit,https://dice.fm/event/372kl-tgbb-17-parker-fans-sunken-nerves-smile-12th-jan-supersonic-paris-tickets,"ven. 12 janv., 19:00","9 Rue Biscornet, 75012 Paris, France",
"Discover #4 Ofé, Lakna, Tianmi, Artÿ, Tiapo",ven. 12 janv.,La REcyclerie,Gratuit,https://dice.fm/event/pnprl-discover-4-of-lakna-tianmi-art-tiapo-12th-jan-la-recyclerie-paris-tickets,"ven. 12 janv., 19:00","83 Boulevard Ornano, 75018 Paris, France",
Umlaut Big Band - Une brève histoire du Swing,ven. 12 janv.,La Marbrerie,"À partir de 13,50 €",https://dice.fm/event/gq3ma--umlaut-big-band-une-brve-histoire-du-swing-12th-jan-la-marbrerie-paris-tickets,"ven. 12 janv., 19:00","21 Rue Alexis Lepere, 93100 Montreuil, France",Umlaut Big Band
Jacques présente Vidéochose 360°,ven. 12 janv.,La Gaité Lyrique,"28,05 €",https://dice.fm/event/mdr3r-jacques-prsente-vidochose-360-12th-jan-la-gait-lyrique-paris-tickets,"ven. 12 janv., 19:30","3bis Rue Papin, 75003 Paris, France","Neniu, Jacques"
HIER,ven. 12 janv.,La Boule Noire,12 €,https://dice.fm/event/gxdkb-hier-12th-jan-la-boule-noire-paris-tickets,"ven. 12 janv., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",HIER
REMY,ven. 12 janv.,La Maroquinerie,"25,50 €",https://dice.fm/event/6k2p7-remy-12th-jan-la-maroquinerie-paris-tickets,"ven. 12 janv., 20:00","23 Rue Boyer, 75020 Paris, France",
"Patrick Eudeline, Gasoline, Jamie Perrett, The Matt Project & DJ Set",ven. 12 janv.,Le Sub Pigalle,"11,80 €",https://dice.fm/event/g3mra-patrick-eudeline-gasoline-jamie-perrett-the-matt-project-dj-set-12th-jan-le-sub-pigalle-paris-tickets,"ven. 12 janv., 21:00","3 Place De Clichy, 75008 Paris, France",
Caribbean groove dur les toits de paris,ven. 12 janv.,Tout Le Monde en Parle,À partir de Gratuit,https://dice.fm/event/68w9q-caribbean-groove-dur-les-toits-de-paris-12th-jan-tout-le-monde-en-parle-paris-tickets,"ven. 12 janv., 23:00","4 Rue Du Départ, 75015 Paris, France","Fermeture, djsprinter"
"BAE Party W/ Surf 2 Glory, Vitamine C & More",ven. 12 janv.,La Java,À partir de 13 €,https://dice.fm/event/25ewa-bae-party-w-surf-2-glory-vitamine-c-more-12th-jan-la-java-paris-tickets,"ven. 12 janv., 23:30","105 Rue du Faubourg du Temple, 75010 Paris, France",
"BIGONE, DOHANSE, DIVE: THE DIAL MUSIC",lun. 8 janv.,La Bellevilloise,"À partir de 22,44 €",https://dice.fm/event/kym3l-bigone-dohanse-dive-the-dial-music-8th-jan-la-bellevilloise-paris-tickets,"lun. 8 janv., 20:00","19 Rue Boyer, 75020 Paris, France",
Marc desse + Niki Demillier + Super Léone,mar. 9 janv.,Supersonic,Gratuit,https://dice.fm/event/ql3ap-marc-desse-niki-demillier-super-lone-9th-jan-supersonic-paris-tickets,"mar. 9 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Super Léone, Niki Demillier, Marc Desse"
WeHungry + Ovearth + Outrance,mar. 9 janv.,L'international,7 €,https://dice.fm/event/mg679-wehungry-ovearth-outrance-9th-jan-linternational-paris-tickets,"mar. 9 janv., 19:00","5 Rue Moret, 75011 Paris, France",
The Twin Souls + BloodyClaps + PaddockAndBreakfast,mer. 10 janv.,Supersonic,Gratuit,https://dice.fm/event/8qv22-the-twin-souls-bloodyclaps-paddockandbreakfast-10th-jan-supersonic-paris-tickets,"mer. 10 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Paddock and Breakfast, Bloody Claps, The Twin Souls"
Orphia + Contre Soirée + La Malle,mer. 10 janv.,L'international,8 €,https://dice.fm/event/68pb3-orphia-contre-soire-la-malle-10th-jan-linternational-paris-tickets,"mer. 10 janv., 19:00","5 Rue Moret, 75011 Paris, France","Orphia, Contre Soirée, La Malle"
The Psychotic Monks,mer. 10 janv.,La Gaité Lyrique,"28,50 €",https://dice.fm/event/r9dwr-the-psychotic-monks-10th-jan-la-gait-lyrique-paris-tickets,"mer. 10 janv., 19:30","3bis Rue Papin, 75003 Paris, France",The Psychotic Monks
L'enfant,mer. 10 janv.,La Boule Noire,15 €,https://dice.fm/event/8lpav-lenfant-10th-jan-la-boule-noire-paris-tickets,"mer. 10 janv., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",L'enfant
Luke Anger + Terrace In Trance + Dora Surleau,mer. 10 janv.,POPUP!,"5,61 €",https://dice.fm/event/qpmey-luke-anger-terrace-in-trance-dora-surleau-10th-jan-popup-paris-tickets,"mer. 10 janv., 20:00","14 Rue Abel, 75012 Paris, France","Luke Anger, Terrace In Trance, Dora Sureau"
Brenda Ohana Trio,mer. 10 janv.,Péniche Marcounet,"16,48 €",https://dice.fm/event/mgo6r-brenda-ohana-trio-10th-jan-pniche-marcounet-paris-tickets,"mer. 10 janv., 21:00 UTC+1","Port de l'Hotel de Ville, Paris 75004",Brenda Ohana Trio
Solal Roubine + Louis La Flemme + Nepita,jeu. 11 janv.,Supersonic,Gratuit,https://dice.fm/event/gx3bb-solal-roubine-louis-la-flemme-nepita-11th-jan-supersonic-paris-tickets,"jeu. 11 janv., 19:00","9 Rue Biscornet, 75012 Paris, France","Nepita, Louis La Flemme, Solal Roubine"
Jacques présente Vidéochose 360°,jeu. 11 janv.,La Gaité Lyrique,"28,05 €",https://dice.fm/event/oaxlg-jacques-prsente-vidochose-360-11th-jan-la-gait-lyrique-paris-tickets,"jeu. 11 janv., 19:30","3bis Rue Papin, 75003 Paris, France","Neniu, Jacques"
Big Data - Release Party,jeu. 11 janv.,POPUP!,"7,86 €",https://dice.fm/event/a5a6x-big-data-release-party-11th-jan-popup-paris-tickets,"jeu. 11 janv., 20:00","14 Rue Abel, 75012 Paris, France","Antoine Lang, Flora Hibberd"
OOO AUDIO #2 | Release Party Franky Gogo,jeu. 11 janv.,La Flèche d'Or,À partir de 8 €,https://dice.fm/event/mgexw-ooo-audio-2-release-party-franky-gogo-11th-jan-la-flche-dor-paris-tickets,"jeu. 11 janv., 20:00","102b Rue De Bagnolet, 75020 Paris, France",
"HEPTASOUND 5Y : Sam Coste, Prost !, Tatem & More",jeu. 11 janv.,La Java,"À partir de 6,12 €",https://dice.fm/event/b2eqx-heptasound-5y-sam-coste-prost-tatem-more-11th-jan-la-java-paris-tickets,"jeu. 11 janv., 23:00","105 Rue du Faubourg du Temple, 75010 Paris, France",
[Pass 2j] Pisica x Le Mazette : Winter Weekender,12 janv. - 14 janv.,Le Mazette,"21,63 €",https://dice.fm/event/9reo7-pass-2j-pisica-x-le-mazette-winter-weekender-12th-jan-le-mazette-paris-tickets,12 janv. - 14 janv.,"69 Port de la Rapée, 75012 Paris, France",
TGBB #17 : Parker Fans + Sunken + Nerves + Smile,ven. 12 janv.,Supersonic,Gratuit,https://dice.fm/event/372kl-tgbb-17-parker-fans-sunken-nerves-smile-12th-jan-supersonic-paris-tickets,"ven. 12 janv., 19:00","9 Rue Biscornet, 75012 Paris, France",
"Discover #4 Ofé, Lakna, Tianmi, Artÿ, Tiapo",ven. 12 janv.,La REcyclerie,Gratuit,https://dice.fm/event/pnprl-discover-4-of-lakna-tianmi-art-tiapo-12th-jan-la-recyclerie-paris-tickets,"ven. 12 janv., 19:00","83 Boulevard Ornano, 75018 Paris, France",
Umlaut Big Band - Une brève histoire du Swing,ven. 12 janv.,La Marbrerie,"À partir de 13,50 €",https://dice.fm/event/gq3ma--umlaut-big-band-une-brve-histoire-du-swing-12th-jan-la-marbrerie-paris-tickets,"ven. 12 janv., 19:00","21 Rue Alexis Lepere, 93100 Montreuil, France",Umlaut Big Band
Jacques présente Vidéochose 360°,ven. 12 janv.,La Gaité Lyrique,"28,05 €",https://dice.fm/event/mdr3r-jacques-prsente-vidochose-360-12th-jan-la-gait-lyrique-paris-tickets,"ven. 12 janv., 19:30","3bis Rue Papin, 75003 Paris, France","Neniu, Jacques"
HIER,ven. 12 janv.,La Boule Noire,12 €,https://dice.fm/event/gxdkb-hier-12th-jan-la-boule-noire-paris-tickets,"ven. 12 janv., 19:30","120 Boulevard de Rochechouart, 75018 Paris, France",HIER
REMY,ven. 12 janv.,La Maroquinerie,"25,50 €",https://dice.fm/event/6k2p7-remy-12th-jan-la-maroquinerie-paris-tickets,"ven. 12 janv., 20:00","23 Rue Boyer, 75020 Paris, France",
"Patrick Eudeline, Gasoline, Jamie Perrett, The Matt Project & DJ Set",ven. 12 janv.,Le Sub Pigalle,"11,80 €",https://dice.fm/event/g3mra-patrick-eudeline-gasoline-jamie-perrett-the-matt-project-dj-set-12th-jan-le-sub-pigalle-paris-tickets,"ven. 12 janv., 21:00","3 Place De Clichy, 75008 Paris, France",
Caribbean groove dur les toits de paris,ven. 12 janv.,Tout Le Monde en Parle,À partir de Gratuit,https://dice.fm/event/68w9q-caribbean-groove-dur-les-toits-de-paris-12th-jan-tout-le-monde-en-parle-paris-tickets,"ven. 12 janv., 23:00","4 Rue Du Départ, 75015 Paris, France","Fermeture, djsprinter"
"BAE Party W/ Surf 2 Glory, Vitamine C & More",ven. 12 janv.,La Java,À partir de 13 €,https://dice.fm/event/25ewa-bae-party-w-surf-2-glory-vitamine-c-more-12th-jan-la-java-paris-tickets,"ven. 12 janv., 23:30","105 Rue du Faubourg du Temple, 75010 Paris, France",
