Event Title,Date,Heure,Venue Name,Price,Event Link,Location,Artists,Genres,Organizer
MEDITATION TOUR X-MAS EDITION - Les Poulets sans Tête,2023-12-23,20:00 à 23:00,L'Alimentation Générale,Gratuit,https://shotgun.live/events/meditation-tour-x-mas-edition-les-poulets-sans-tete,"64 Rue Jean-Pierre Timbaud, 75011 Paris, France",les poulets sans têtes,"rock, techno, goth",L'Alimentation Générale
Endless Musical Trip: before Christmas,2023-12-23,22:00 à 06:00,Liebe - Bar Electro,Gratuit,https://shotgun.live/events/endless-musical-trip-before-christmas,"46 Rue du Faubourg Montmartre, 75009 Paris, France",,techno,Liebe
"Club Tropicalia 23/12 ~Latin, Afro, Caribbean, Brazil Party!",2023-12-23,23:00 à 05:00,Punk Paradise,"8,99 €",https://shotgun.live/events/club-tropicalia-23-12-latin-afro-caribbean-brazil-party,"44 Rue de la Folie Méricourt, 75011 Paris, France","Cucurucho Groovalizacion, Groovalizacion, GHOST NEBULA","afrobeat, afro house, reggaeton, dancehall, baile funk, world music",Groovalizacion
Vs Show,2023-12-23,23:00 à 06:00,Non mentionné,Gratuit,https://shotgun.live/events/vs-show,"51 Rue de Ponthieu, 75008 Paris, France",,,Vs Show
"POPPIN (HIP HOP, AFRO, DANCEHALL, AMAPIANO) - SAMEDI 23/12",2023-12-23,23:00 à 06:00,MOVIDA CLUB PARIS,"15,99 €",https://shotgun.live/events/poppin-hip-hop-afro-dancehall-amapiano-samedi-23-12,"32 Av. Corentin Cariou, 75019 Paris, France",,"rap, hip hop, dancehall, afrobeat",MovidaClubParis
BACK TO BASIC - GURU CLUB,2023-12-23,23:00 à 05:00,Non mentionné,Gratuit,https://shotgun.live/events/back-to-basic-guru-paris,"36 Bd de la Bastille, 75012 Paris, France",,,guru paris
MACHÜ-PICHÜ,2023-12-23,23:30 à 05:00,Cha-Cha Club,"21,00 €",https://shotgun.live/events/copy-of-machu-pichu-2,"47 Rue Berger, 75001 Paris, France","Raphael Hayon, Harrow, Thiess Assous, Sasha Kaaÿ","afro house, deep house, melodic house & techno, house",Made in A
"Dynastie, every saturday : Vaquero Birthday !",2023-12-23,23:59 à 06:00,Non mentionné,"15,99 €",https://shotgun.live/events/dynastie-every-saturday-vaquero-birthday,"49 Rue de Ponthieu, 75008 Paris, France",,"hip hop, afrobeat, trap, rap",B.E. PROD
Version Originale #4,2023-12-23,23:59 à 05:00,Non mentionné,Gratuit,https://shotgun.live/events/version-originale-4,"18 Rue des Quatre Vents, 75006 Paris, France",,,Kevin LS
MONSIEUR CIRQUE // SAMEDI 23 DECEMBRE // Boum Boum,2023-12-23,23:59 à 05:30,Boum Boum,"18,99 €",https://shotgun.live/events/monsieur-cirque-samedi-23-decembre-boum-boum,"37 Av. de Friedland, 75008 Paris, France",,,JET LAG PRODUCTION
"Figurative Records: EG, Louison, Figurative Crew",2023-12-23,23:59 à 07:00,Rex Club,"15,80 €",https://shotgun.live/events/figurative-records-eg-louison-figurative-crew,"5 Bd Poissonnière, 75002 Paris, France","Figurative Records, EG, Louison","electro, house",REX CLUB
Dolce vita @ Gibus x Dj Did,2023-12-23,00:00,Non mentionné,"10,99 €",https://shotgun.live/events/dolce-vita-gibus-x-dj-did,"18 Rue du Faubourg du Temple, 75011 Paris, France",DJ Did,,Fullnafull Paris
In_Fusion @Gambetta X : Kinky Xmas,2023-12-23,23:00 à 05:00,Le Gambetta,"5,00 €",https://shotgun.live/events/in-fusion-gambetta-x-kinky-xmas,"104 Rue de Bagnolet, 75020 Paris, France","Meygoo, SIRYY, 2 Bass, NoNo aka Zer0BPM","techno, hard groove, psytrance, experimental",InFusion
"Djoon: Jeff The Fool, DJ Steaw & Wilt",2023-12-23,23:59 à 06:00,Djoon,"10,99 €",https://shotgun.live/events/djoon-jeff-the-fool-dj-steaw-wilt,"22 Bd Vincent Auriol, 75013 Paris, France","Jeff The Fool, Dj Steaw","house, deep house, acid house, garage, chicago house, disco",DJOON
"IVORY (AFTERLIFE / INNERVISIONS), MIMI x FY, SINGI I DUST",2023-12-23,23:45 à 06:00,YOYO,"31,50 €",https://shotgun.live/events/ivory-afterlife-innervisions-mimi-x-fy-singi-i-dust,"Palais De Tokyo, 13 Av. du Président Wilson, 75016 Paris, France","Ivory, MĪMĪ x FY, Singi","deep house, techno, melodic house & techno, electro, tech house",DUST
Un Noël latino !,2023-12-23,23:00 à 05:30,La Bellevilloise,"12,10 €",https://shotgun.live/events/un-noel-latino,"19-21 Rue Boyer, 75020 Paris, France",,"salsa, reggaeton, baile funk",LA BELLEVILLOISE
RÊVE PARTY - Péniche Cinéma - Techno to Trance,2023-12-23,23:00 à 07:00,La Péniche Cinéma - Le Baruda,"10,99 €",https://shotgun.live/events/reve-party-peniche-cinema-techno-to-trance,"59 Bd Macdonald, 75019 Paris, France","Abiotiq - Bom Shanka Music, Auri0n, Otezuka, k0uci, Hemei, dj_kinokosan, Alix","techno, hard techno, psytrance, dark psytrance",StereOrganic Productions
NAVA - FOLIES PIGALLE,2023-12-23,23:00 à 06:00,Folies Pigalle,"12,99 €",https://shotgun.live/events/nava-folies-pigalle,"11 Pl. Pigalle, 75009 Paris, France",,"rap, trap, hip hop, techno, dance",LES FOLIES PIGALLE
PANTHEON presents : AMINE K & DAVIDE SQUILLACE - 23/12,2023-12-23,23:45 à 06:00,Non mentionné,"21,00 €",https://shotgun.live/events/pantheon-presents-amine-k-davide-squillace-23-12,"8 Port des Invalides, 75007 Paris, France","Amine K (Moroko Loko), davide squillace, NAMU",,Maori Production
Club — Dam Swindle all night long,2023-12-23,23:30 à 07:00,Badaboum,"13,49 €",https://shotgun.live/events/club-dam-swindle-all-night-long,"2 bis Rue des Taillandiers, 75011 Paris, France",Dam Swindle,"house, deep house, disco",BADABOUM
OPERA HIP-HOP au BRIDGE / 23/12,2023-12-23,23:45 à 05:45,Pont Alexandre III,"10,99 €",https://shotgun.live/events/opera-hip-hop-au-bridge-23-12,"Pont Alexandre III, 75008 Paris, France",,"rap, trap, r&b, afrobeat, hip hop, reggaeton",Wattsmyname
All I Want For Christmas Is MEDUZA,2023-12-23,23:00 à 06:00,La Java,"10,69 €",https://shotgun.live/events/all-i-want-for-christmas-is-meduza,"105 Rue du Faubourg du Temple, 75010 Paris, France","Deborah Aime La Bagarre, Sean, Tudor, Hippal","house, electro",LA JAVA
Pati,2023-12-23,23:00 à 17:00,Nouveau Casino,"15,99 €",https://shotgun.live/events/pati,"109 Rue Oberkampf, 75011 Paris, France","TERRA BLVCK, FASHIXNKILLA",,Events Pati
Sacré présente Toy Tonics Jam (special secret linup),2023-12-23,23:00 à 06:00,Sacré,"10,00 €",https://shotgun.live/events/sacre-presente-toy-tonics-jam-special-secret-linup,"142 Rue Montmartre, 75002 Paris, France","Toy Tonics, DJ Suspect","house, disco house, disco, funk",Sacré
"BELLE EPOQUE! W/ DAVID SHAW AND THE BEAT , EDOUARD!",2023-12-23,23:00 à 06:00,Silencio Club,"15,00 €",https://shotgun.live/events/belle-epoque-w-david-shaw-and-the-beats,"142 Rue Montmartre, 75002 Paris, France","David Shaw And The Beat, Edouard! / Belle Epoque!","house, techno",Silencio Club
"SKYLAX X GLAZART : Theos, Floorfillers & Hardrock Striker",2023-12-23,23:59 à 06:00,Glazart,"12,00 €",https://shotgun.live/events/skylax-x-glazart-theos-floorfillers-hardrock-striker,"7 Av. de la Prte de la Villette, 75019 Paris, France","théos, SKYLAX, Floorfillers",house,GLAZART
MOD'S PARTY : The Arrogant + Soul Time,2023-12-23,18:00 à 00:00,L'International,"9,99 €",https://shotgun.live/events/mod-s-party-the-arrogant-soul-time,"5/7 Rue Moret, 75011 Paris, France",,,tsc records live
Spasmophilie,2023-12-23,23:50 à 06:00,L'International,"7,00 €",https://shotgun.live/events/spasmophilie,"5/7 Rue Moret, 75011 Paris, France","Contrxaction, INESHIGHNESS, Baddhu",techno,Contrxaction
9HOUSE,2023-12-23,23:00 à 05:00,Non mentionné,"9,99 €",https://shotgun.live/events/9-house,"33 Rue des Petits Champs, 75001 Paris, France",,,L’ŒIL
ALMA CLUB INVITES BAGHEERA & GIANNI,2023-12-23,23:55 à 05:00,Alma Club Montaigne,"10,99 €",https://shotgun.live/events/alma-club-invites-bagheera-gianni,"15 Av. Montaigne, 75008 Paris, France",Bagheera,house,Alma Club
Afro Bal spécial Afrobeat Night live + Djs groove & électro!,2023-12-23,c From 8:00 PM To 5:00 AM,Non mentionné,"5,50 €",https://shotgun.live/events/afro-bal-special-afrobeat-night-live-djs-groove-electro,Lieu secret,"GHOST NEBULA, Cucurucho Groovalizacion, Groovalizacion","afrobeat, afro house, dancehall, funk, electronica, world music",Groovalizacion
Reggaton party sur les toits de paris,2023-12-23,23:00 à 05:00,Tout le Monde en Parle restaurant festif club,"15,99 €",https://shotgun.live/events/reggaton-party-sur-les-toits-de-paris,"4 Rue du Départ, 75015 Paris, France",Dj Alkior,"reggaeton, salsa, brazilian, hip hop, world music",jean BOURBON
GATE & DEEPERS,2023-12-23,23:00 à 07:00,Non mentionné,"10,99 €",https://shotgun.live/events/gate-deepers,"2 Pl de la Prte Maillot, 75017 Paris, France","RHOOWAX, Yomi & RonysooL(Insta ronysool_music & yomiperetz), Walli Music (instagram : walli_music), YAZAY, CHAOUAT, Zia Music, _SALOMÉ","tech house, afro house, melodic house & techno, deep house",DEEPERS
Heartless Super Club - Live Vacra,2023-12-23,23:00 à 06:00,T7,"23,10 €",https://shotgun.live/events/heartless-super-club-closing-2023,"Pl. des Insurgés de Varsovie, 75015 Paris, France",VACRA (Officiel),"hip hop, rap, trap",All Inc
NOCTURNAL SPELLS #1 @Caves Saint Sabin [Paris] - 23.12.2023,2023-12-23,23:00 à 06:00,Les Caves Saint-Sabin,"10,99 €",https://shotgun.live/events/nocturnal-spells-1-caves-saint-sabin-paris-23-12-2023,"50 Rue St Sabin, 75011 Paris, France","MøMz, Mowglitch, Kaprika, Hyphae - Soundblasting Records, ESTHERRR",,Lilla Records
"KÖMMA : Robin Tordjman, Touzani",2023-12-24,23:59 à 07:00,Non mentionné,"15,99 €",https://shotgun.live/events/komma-robin-tordjman-touzani,"65 Rue Pierre Charron, 75008 Paris, France","Robin Tordjman, Touzani","house, melodic house & techno",KOMMA
"After O'Clock : KID, Kristofo & Street Machine",2023-12-24,06:00 à 16:00,Glazart,"9,50 €",https://shotgun.live/events/after-o-clock-kid-kristofo-remain,"7 Av. de la Prte de la Villette, 75019 Paris, France","Kristofo, Glazart",techno,GLAZART
Sivilizasyon x Gambetta Club After Party Techno Noël !,2023-12-24,18:00 à 05:30,Le Gambetta,Gratuit,https://shotgun.live/events/sivilizasyon-x-gambetta-club-after-party-techno-noel,"104 Rue de Bagnolet, 75020 Paris, France",BenMaster,techno,Sivilizasyon
WEEK END - CHRISTMAS PARTY,2023-12-24,23:00 à 06:00,Folies Pigalle,"11,99 €",https://shotgun.live/events/week-end-christmas-party,"11 Pl. Pigalle, 75009 Paris, France",,"r&b, rap, hip hop, trap, drill, dance",LES FOLIES PIGALLE
Clara Paris x Leto live performance,2023-12-24,23:59 à 06:00,Non mentionné,"100,80 €",https://shotgun.live/events/clara-paris-x-leto-live-performance,"552 Rue de Flins, 78410 Bouafle, France",,,Club 31
Fuck Monday X DJ SYT and Friends,2023-12-25,01:30 à 07:00,CLUB VENDOME,"10,99 €",https://shotgun.live/events/fuck-monday-x-dj-syt-and-friends,"9 Rue Daunou, 75002 Paris, France",DJ SYT,"afrobeat, hip hop",Fullnafull Paris
ERASMUS XMAS PARTY_DUPLEX CLUB,2023-12-26,23:00 à 05:30,Le Duplex,Gratuit,https://shotgun.live/events/erasmus-xmas-party-duplex-club,"2 bis Av. Foch, 75116 Paris, France",,,ERASMUS PARIS NIGHTLIFE
"KÖMMA : Closing 2023, Ronysool & Yomi",2023-12-27,23:59 à 07:00,Non mentionné,"15,99 €",https://shotgun.live/events/komma-ronysool-yomi-and-friends,"65 Rue Pierre Charron, 75008 Paris, France",,"deep house, indie dance, tech house",KOMMA
Undercover #15 - Jolagreen23 & Zequin live,2023-12-27,23:59 à 05:00,Sacré,"11,20 €",https://shotgun.live/events/undercover-15-jolagreen-23-zequin-live,"142 Rue Montmartre, 75002 Paris, France",,,Undercover
Fast Dirty Pop Release Party: KRL MX all night long,2023-12-27,23:59 à 07:00,Rex Club,"8,80 €",https://shotgun.live/events/fast-dirty-pop-release-party-krl-mx-all-night-long,"5 Bd Poissonnière, 75002 Paris, France",Krl Mx,"techno, electro",REX CLUB
"HORDE FAMILY W/ SORÄ, SAÙDAD & FRIENDS",2023-12-27,22:00 à 04:00,Silencio Club,"10,00 €",https://shotgun.live/events/horde-w-sora-friends,"142 Rue Montmartre, 75002 Paris, France","Sorä, Horde Paris, Saùdad","tech house, electro, house, deep house",Silencio Club
"La Java : Lowkey Records, Mauve, Contre Temps & More",2023-12-28,23:00 à 06:00,La Java,"5,69 €",https://shotgun.live/events/la-java-lowkey-records-mauve-contre-temps-more,"105 Rue du Faubourg du Temple, 75010 Paris, France","Lowkey Records, MikaelReis, MAUVE Soundsystem, Arnaud is Dancing, GAYAsounds, Soulagru","house, electro, electro house",LA JAVA
50 nuances de Bitches#47,2023-12-28,20:00 à 02:00,Non mentionné,"15,99 €",https://shotgun.live/events/50-nuances-de-bitches-47,"2 Rue Louis Bertrand, 94200 Ivry-sur-Seine, France",,"electro, minimal house",LaddictedBar
After Work// WOBO X LA POUDRIÉRE,2023-12-28,18:30 à 01:00,Non mentionné,Gratuit,https://shotgun.live/events/wobo-after-work,"41 Rue Servan, 75011 Paris, France",,,La Poudriere Paris
Mirage presents Serum / Closing 2023,2023-12-28,23:59 à 07:00,Mirage Paris,"21,00 €",https://shotgun.live/events/mirage-presents-serum-closing-2023,"65 Rue Pierre Charron, 75008 Paris, France","Aaron Julian, Fradji, Michelle Bench, LaBench","deep house, house, afro house, techno, electro, tech house",mirageclub
CABARET BAS NYLON : LA BUCHE AUX CAFARDS,2023-12-28,21:00 à 23:30,Silencio Club,"30,00 €",https://shotgun.live/events/cabaret-bas-nylon,"142 Rue Montmartre, 75002 Paris, France",jean-biche,,Silencio Club
Club — Kid Simius live (+) more,2023-12-28,23:30 à 06:00,Badaboum,"6,49 €",https://shotgun.live/events/club-kid-simius-more,"2 bis Rue des Taillandiers, 75011 Paris, France",KID SIMIUS,"house, acid house, balearic",BADABOUM
KIMONO EVENTS @CHEZMOUNE - Thursday 28.12,2023-12-28,23:30 à 06:00,Chez Moune,"12,99 €",https://shotgun.live/events/kimono-events-chezmoune-thursday-28-12,"54 Rue Jean-Baptiste Pigalle, 75009 Paris, France",OTHAM,"house, electro, deep tech, deep house, afro house, electro house",Chez Moune Paris
ATACAMA BY PABLO SAAVEDRA DE DECKER,2023-12-28,23:00 à 05:00,Silencio Club,"10,00 €",https://shotgun.live/events/atacama-x-pablo-saavedra-de-deckerr,"142 Rue Montmartre, 75002 Paris, France",Pablo Saavedra de Decker,,Silencio Club
RAZZLe DAZZLe PARTy,2023-12-28,23:59 à 07:00,Le Magnum Klub,"7,99 €",https://shotgun.live/events/razz-le-dazz-le-par-ty,"56 Rue de la Fontaine au Roi, 75011 Paris, France","SHA.DOW, Pegazus_Musicc, k0uci","acid techno, techno, hard techno",Magnum Klub
"Dusk Records Presents: Beste Hira, LYRIC, CRYME, NO MISS",2023-12-28,23:59 à 07:00,Rex Club,"9,80 €",https://shotgun.live/events/dusk-records-presents-elise-masoni-lyric-cryme-no-miss,"5 Bd Poissonnière, 75002 Paris, France","LYRIC, CRYME, NO MISS","techno, electro",REX CLUB
Secteur Clos - Le Cockpit #1 W/ L'INTERNATIONAL,2023-12-28,23:59 à 06:00,L'International,"3,99 €",https://shotgun.live/events/secteur-clos-le-cockpit-1-w-l-international,"5/7 Rue Moret, 75011 Paris, France",,"techno, melodic house & techno, progressive house, acid techno",Secteur Clos
NIGHT PARTY - 29/12 - MOVIDA CLUB,2023-12-29,23:00 à 06:00,MOVIDA CLUB PARIS,"15,99 €",https://shotgun.live/events/night-party-29-12-movida-club,"32 Av. Corentin Cariou, 75019 Paris, France",,,MovidaClubParis
"KBAHN X LA JAVA : NEMO VACHEZ, ZELEKE, VENETIA & CROPTOP",2023-12-29,23:00 à 06:00,La Java,"10,99 €",https://shotgun.live/events/kbahn-x-la-java-nemo-vachez-zeleke-venetia-croptop,"105 Rue du Faubourg du Temple, 75010 Paris, France","Nemo Vachez, Venetia, ZELEKE","acid house, electro house, house, micro house, minimal house, tech house",Kbahn
Sacré présente Tour-Maubourg / Alone Together #2,2023-12-29,23:00 à 06:00,Sacré,"10,00 €",https://shotgun.live/events/sacre-presente-tour-maubourg-alone-together-2,"142 Rue Montmartre, 75002 Paris, France",Tour-Maubourg,"house, deep house, disco house, disco, funk",Sacré
Caribbean groove sur les toits de paris club,2023-12-29,23:00 à 05:00,Tout le Monde en Parle restaurant festif club,"15,99 €",https://shotgun.live/events/caribbean-groove-sur-les-toits-de-paris-club,"4 Rue du Départ, 75015 Paris, France",Dj SprinTer,"afrobeat, hip hop, world music, dancehall, dance",jean BOURBON
LOLITA - FRENCHIE SHORE,2023-12-29,23:00 à 06:00,CLUB LA*NUIT,"12,99 €",https://shotgun.live/events/lolita-frenchie-shore,"8 Bd de la Madeleine, 75009 Paris, France","Nelson D'Araujo, OuaisDavid, Loë","pop, r&b",LA NUIT PARIS
Afro Heaven - Afro & Tropical Vibes Party Noël édition,2023-12-29,23:00 à 06:00,À la folie,"8,50 €",https://shotgun.live/events/afro-heaven-afro-tropical-vibes-party-noel-edition,"A la Folie - Folie L2 - Parc de, 26 Av. Corentin Cariou, 75019 Paris, France",,"afrobeat, afro house, dancehall",À la folie paris
Agencetoumix Gambetta Claus Party,2023-12-29,00:00,Le Gambetta,"5,99 €",https://shotgun.live/events/agencetoumix-gambetta-claus-party,"104 Rue de Bagnolet, 75020 Paris, France","French Phil, Vice Experience, Euler, Le-Rail-de-Son / Correspondance","house, ghettotech, techno, electro, acid techno, acid house",Agencetoumix
Radio Color & Friends,2023-12-29,19:00 à 05:00,Panic Room,Gratuit,https://shotgun.live/events/radio-color-friends,"101 Rue Amelot, 75011 Paris, France",,"house, tech house",Panic Room
SMevents,2023-12-29,23:00 à 05:30,Non mentionné,"10,99 €",https://shotgun.live/events/s-mevents,"29 Rue de Lappe, 75011 Paris, France",,,SMEVENT
FRIDAY VIBIN’ #2 - GURU CLUB,2023-12-29,23:00 à 05:00,Non mentionné,Gratuit,https://shotgun.live/events/friday-vibin-2-guru-club,"36 Bd de la Bastille, 75012 Paris, France",,"alternative dance, club, dance, electro, edm",guru paris
AFROTHERAPY Ep13,2023-12-29,23:30 à 05:30,Le Trust,"10,99 €",https://shotgun.live/events/afrotherapy-ep-13,"49 Rue de Ponthieu, 75008 Paris, France","DJ Shiiva, IZIS, Deejay_Vlm, DJ KPOSS","afrobeat, dancehall, hip hop, r&b",Night Pepper
GOD RAVER S18,2023-12-29,23:59 à 07:00,Le Magnum Klub,"8,99 €",https://shotgun.live/events/god-raver-s-18,"56 Rue de la Fontaine au Roi, 75011 Paris, France","ki.moono, __xnihilo__, THXMAS","techno, acid techno, hard techno",Magnum Klub
AFTER CHRISTMAS PARTY - Techno to Hardstyle,2023-12-29,22:00 à 06:00,Les Caves Saint-Sabin,"12,99 €",https://shotgun.live/events/after-christmas-party-techno-to-hardstyle,"50 Rue St Sabin, 75011 Paris, France","YoKer_Music, Antonio Baco, Sølar, Spiritvs, OMNI","techno, hard techno, hardstyle",Love Music & People
Cumbia & Reggaeton Party 29/12 !!,2023-12-29,23:00 à 05:00,Punk Paradise,"8,99 €",https://shotgun.live/events/cumbia-reggaeton-party-29-12,"44 Rue de la Folie Méricourt, 75011 Paris, France",,"reggaeton, salsa, world music, baile funk, brazilian",Groovalizacion
BACHANUEVA,2023-12-29,20:00 à 02:00,Non mentionné,"13,99 €",https://shotgun.live/events/bachanueva,"46 Rue des Rigoles, 75020 Paris, France",,salsa,SALSANUEVA
VENDREDI XXL | 29.12.23,2023-12-29,19:00 à 05:30,La Bellevilloise,"21,00 €",https://shotgun.live/events/vendredi-xxl-29-12-23,"19-21 Rue Boyer, 75020 Paris, France","patricio diaz, Bomo, Hugo Prime, Deejay Dgraph'","house, techno, disco, disco house",LA BELLEVILLOISE
AsHs The Best à Le Chinois de Montreuil le 29 déc 23,2023-12-29,20:30 à 01:00,Le Chinois,"28,35 €",https://shotgun.live/events/as-hs-the-best-a-le-chinois-de-montreuil-le-29-dec-23,"6 Pl. du Marché, 93100 Montreuil, France",,"afrobeat, world music",Groovalizacion
NEXUS AGENCY : KRYPTON | ESILISE | NMO | DJ CONTEST,2023-12-29,23:00 à 07:00,Nexus,"7,99 €",https://shotgun.live/events/nexus-agency-krypton-esilise-nmo-dj-contest,"100 Av. du Général Leclerc, 93500 Pantin, France","KRYPTON, 𝔢𝔰𝔦𝔩𝔦𝔰𝔢, NMO","techno, hard techno, german techno, industrial techno, acid techno, electro",Nexus
Rex Club Presents Lacchesi All Night Long,2023-12-29,23:59 à 07:00,Rex Club,"17,80 €",https://shotgun.live/events/rex-club-presents-lacchesi-all-night-long,"5 Bd Poissonnière, 75002 Paris, France","Lacchesi, Raise Music","electro, techno",REX CLUB
DENIS HORVAT @ GATE CLUB PARIS,2023-12-29,23:30 à 06:00,GATE CLUB PARIS,"10,99 €",https://shotgun.live/events/denis-horvat-gate-club-paris,"2 Pl de la Prte Maillot, 75017 Paris, France",Denis Horvat,"deep techno, deep house, melodic house & techno, house",GATE CLUB
"MADS PARTY W/ URUMI, SYRA, AALIYAHNELLE",2023-12-29,22:00 à 02:00,Silencio des Prés,"10,00 €",https://shotgun.live/events/mads-party,"22 Rue Guillaume Apollinaire, 75006 Paris, France","URUMI, dylan ali","electro, dance",Silencio Des Prés
La LIM (Flirt) - Friday All Night Long,2023-12-29,23:00 à 05:30,Non mentionné,"8,99 €",https://shotgun.live/events/la-lim-flirt-friday-all-night-long,"40 Rue du Colisée, 75008 Paris, France",,"pop, dance",Doctor Love
Fourre Ta Cagoule#20,2023-12-29,20:00 à 02:00,Non mentionné,"15,99 €",https://shotgun.live/events/fourre-ta-cagoule-20,"2 Rue Louis Bertrand, 94200 Ivry-sur-Seine, France",,"hip hop, uk garage",LaddictedBar
Club — Public Possession 10 ans with Sedef Adasi,2023-12-29,23:30 à 07:00,Badaboum,"13,49 €",https://shotgun.live/events/club-public-possession-10-ans-with-sedef-adasi,"2 bis Rue des Taillandiers, 75011 Paris, France","Sedef Adasi, Bell Towers, Dj City","acid house, house, trance",BADABOUM
"BLT CLASH BALL W/ REMAIN, SYLVIO B, SHADOW & EMMANUEL CAUREL",2023-12-29,23:00 à 06:00,Silencio Club,"10,00 €",https://shotgun.live/events/blt-clash-ball-w-remain-sylvio-b-shadow-emmanuel-caurel,"142 Rue Montmartre, 75002 Paris, France","Sylvio B, Emmanuel Caurel, REMAIN","electro, house",Silencio Club
Montreuil is Tropical ~ Clubbing Afro ÷ Caribbean ÷ Latino !,2023-12-29,23:00 à 05:00,Le Chinois,"8,99 €",https://shotgun.live/events/montreuil-is-tropical-clubbing-afro-caribbean-latino,"6 Pl. du Marché, 93100 Montreuil, France","Cucurucho Groovalizacion, Groovalizacion, GHOST NEBULA, Gorilan","afrobeat, afro house, reggaeton, dancehall, baile funk, world music",Groovalizacion
"Djoon : Memories - Thakzin, Rocco Rodamaal & Dairmount",2023-12-29,23:59 à 06:00,Djoon,"10,99 €",https://shotgun.live/events/djoon-memories-thakzin-rocco-rodamaal-dairmount,"22 Bd Vincent Auriol, 75013 Paris, France","Phil Darimont aka Dairmount, Rocco Rodamaal, Thakzin","afro house, afrobeat, deep house, house",DJOON
Nuit rose,2023-12-29,20:00 à 02:00,Non mentionné,"5,98 €",https://shotgun.live/events/diner-shibari-de-noel,"43 Rue Saint-Honoré, 75001 Paris, France",,"techno, deep techno",Maison noire
Can’t Teach a Monkey III,2023-12-29,23:30 à 06:00,Le Klub,"6,99 €",https://shotgun.live/events/can-t-teach-a-monkey-iii,"14 Rue Saint-Denis, 75001 Paris, France","PHonolith (FR), Wandering Pulse, MOUSKY, OBLOMOV, Colapso, Hadj y Baba, AVNTR","techno, indie dance, deep techno, progressive house, melodic house & techno, minimal techno",hadjybaba
"BYE 2023 : Franck Roger, LeLeon, Adri, Lyss, Pierrinski",2023-12-30,23:59 à 06:00,Djoon,"10,99 €",https://shotgun.live/events/bye-2023-franck-roger-le-leon-adri-lyss-pierrinski,"22 Bd Vincent Auriol, 75013 Paris, France","djfranckroger, LeLeon, Adri, Lyss, Pierrinski","house, disco, deep house, afro house, funk, acid house",DJOON
TELE CLUB (HIP-HOP),2023-12-30,00:00,Non mentionné,"3,99 €",https://shotgun.live/events/tele-club-hip-hop,Lieu secret,,"hip hop, rap",TELE CLUB
